modele,cle_modele,camp,item,tv_entre_identites,tv_plancher_w1_w2
Qwen3-4B-Instruct-2507,q4,gauche,natspac/y,0.2,0.035971223021582774
Qwen3-4B-Instruct-2507,q4,gauche,natenvir/y,0.0,0.014388489208633098
Qwen3-4B-Instruct-2507,q4,gauche,natheal/y,0.04999999999999999,0.03357314148681051
Qwen3-4B-Instruct-2507,q4,gauche,natcity/y,0.15000000000000002,0.0239808153477218
Qwen3-4B-Instruct-2507,q4,gauche,natdrug/y,0.0,0.02398081534772179
Qwen3-4B-Instruct-2507,q4,gauche,nateduc/y,0.04999999999999999,0.023980815347721802
Qwen3-4B-Instruct-2507,q4,gauche,natrace/y,0.0,0.0647482014388489
Qwen3-4B-Instruct-2507,q4,gauche,natarms/y,0.04999999999999999,0.004796163069544307
Qwen3-4B-Instruct-2507,q4,gauche,nataid/y,0.10000000000000003,0.038369304556354886
Qwen3-4B-Instruct-2507,q4,gauche,natfare/y,0.10000000000000003,0.014388489208633146
Qwen3-4B-Instruct-2507,q4,gauche,natroad,0.10000000000000003,0.026378896882494
Qwen3-4B-Instruct-2507,q4,gauche,natsoc,0.10000000000000003,0.02158273381294968
Qwen3-4B-Instruct-2507,q4,gauche,natmass,0.20000000000000007,0.03357314148681058
Qwen3-4B-Instruct-2507,q4,gauche,natpark,0.0,0.004796163069544328
Qwen3-4B-Instruct-2507,q4,gauche,natchld,0.2,0.01199040767386087
Qwen3-4B-Instruct-2507,q4,gauche,natsci,0.0,0.031175059952038342
Qwen3-4B-Instruct-2507,q4,gauche,natenrgy,0.0,0.014388489208633108
Qwen3-4B-Instruct-2507,q4,gauche,uswary,0.0,0.011990407673860948
Qwen3-4B-Instruct-2507,q4,gauche,prayer,0.13,0.0071942446043165575
Qwen3-4B-Instruct-2507,q4,gauche,courts,0.04999999999999999,0.026378896882494007
Qwen3-4B-Instruct-2507,q4,gauche,discaffw,0.0,0.01199040767386092
Qwen3-4B-Instruct-2507,q4,gauche,discaffm,0.0,0.028776978417266154
Qwen3-4B-Instruct-2507,q4,gauche,fehire,0.0,0.028776978417266112
Qwen3-4B-Instruct-2507,q4,gauche,fechld,0.05000000000000002,0.06474820143884899
Qwen3-4B-Instruct-2507,q4,gauche,fepresch,0.0,0.04076738609112715
Qwen3-4B-Instruct-2507,q4,gauche,fefam,0.10000000000000002,0.03357314148681059
Qwen3-4B-Instruct-2507,q4,gauche,fepol,0.0,0.031175059952038398
Qwen3-4B-Instruct-2507,q4,gauche,mobile16,0.050000000000000024,0.011990407673860864
Qwen3-4B-Instruct-2507,q4,gauche,incom16,0.04999999999999999,0.02637889688249405
Qwen3-4B-Instruct-2507,q4,gauche,dwelown16,0.2,0.01678657074340524
Qwen3-4B-Instruct-2507,q4,gauche,divorced,0.1,0.0023980815347721257
Qwen3-4B-Instruct-2507,q4,gauche,posslq/y,0.04999999999999999,0.019184652278177464
Qwen3-4B-Instruct-2507,q4,gauche,wrkstat,0.22380999999999995,0.057553956834532315
Qwen3-4B-Instruct-2507,q4,gauche,evwork,0.19999999999999996,0.009592326139088746
Qwen3-4B-Instruct-2507,q4,gauche,wrkgovt1,0.0,0.02637889688249398
Qwen3-4B-Instruct-2507,q4,gauche,wrkgovt2,0.0,0.0
Qwen3-4B-Instruct-2507,q4,gauche,partfull,0.0,0.03117505995203844
Qwen3-4B-Instruct-2507,q4,gauche,wksub1,0.0,0.016786570743405282
Qwen3-4B-Instruct-2507,q4,gauche,wksup1,0.0,0.03597122302158269
Qwen3-4B-Instruct-2507,q4,gauche,conarmy,0.10000000000000002,0.016786570743405282
Qwen3-4B-Instruct-2507,q4,gauche,conbus,0.05000000000000003,0.03836930455635501
Qwen3-4B-Instruct-2507,q4,gauche,conclerg,0.0,0.01438848920863308
Qwen3-4B-Instruct-2507,q4,gauche,coneduc,0.05000000000000003,0.04316546762589924
Qwen3-4B-Instruct-2507,q4,gauche,confed,0.05000000000000003,0.019184652278177505
Qwen3-4B-Instruct-2507,q4,gauche,confinan,0.05000000000000003,0.02398081534772184
Qwen3-4B-Instruct-2507,q4,gauche,conjudge,0.05000000000000003,0.07434052757793763
Qwen3-4B-Instruct-2507,q4,gauche,conlabor,0.0,0.004796163069544376
Qwen3-4B-Instruct-2507,q4,gauche,conlegis,0.15000000000000002,0.014388489208633053
Qwen3-4B-Instruct-2507,q4,gauche,conmedic,0.05000000000000003,0.03117505995203836
Qwen3-4B-Instruct-2507,q4,gauche,conpress,0.10000000000000002,0.014388489208633129
Qwen3-4B-Instruct-2507,q4,gauche,consci,0.05000000000000003,0.007194244604316544
Qwen3-4B-Instruct-2507,q4,gauche,contv,0.10000000000000002,0.01918465227817747
Qwen3-4B-Instruct-2507,q4,gauche,joblose,0.0,0.07913669064748197
Qwen3-4B-Instruct-2507,q4,gauche,jobfind,0.0,0.062350119904076726
Qwen3-4B-Instruct-2507,q4,gauche,happy,0.09999999999999998,0.019184652278177478
Qwen3-4B-Instruct-2507,q4,gauche,hapmar,0.10000000000000003,0.04076738609112707
Qwen3-4B-Instruct-2507,q4,gauche,satjob,0.1,0.023980815347721795
Qwen3-4B-Instruct-2507,q4,gauche,spdeg*,0.10707050000000001,0.019184652278177425
Qwen3-4B-Instruct-2507,q4,gauche,spjew,0.24999999999999997,0.011990407673860878
Qwen3-4B-Instruct-2507,q4,gauche,spfund,0.3500000000000001,0.009592326139088697
Qwen3-4B-Instruct-2507,q4,gauche,unemp,0.030000000000000013,0.03357314148681054
Qwen3-4B-Instruct-2507,q4,gauche,union1,0.1,0.014388489208633056
Qwen3-4B-Instruct-2507,q4,gauche,spkath/y,0.03,0.0
Qwen3-4B-Instruct-2507,q4,gauche,colath,0.030000000000000027,0.007194244604316502
Qwen3-4B-Instruct-2507,q4,gauche,spkrac/y,0.0,0.03357314148681059
Qwen3-4B-Instruct-2507,q4,gauche,colrac,0.0,0.0047961630695443624
Qwen3-4B-Instruct-2507,q4,gauche,librac/y,0.55,0.002398081534772223
Qwen3-4B-Instruct-2507,q4,gauche,spkcom/y,0.0,0.03357314148681054
Qwen3-4B-Instruct-2507,q4,gauche,colcom/y,0.30000000000000004,0.031175059952038342
Qwen3-4B-Instruct-2507,q4,gauche,libcom/y,0.1,0.019184652278177464
Qwen3-4B-Instruct-2507,q4,gauche,spkhomo/y,0.0,0.028776978417266216
Qwen3-4B-Instruct-2507,q4,gauche,colhomo,0.09999999999999999,0.02877697841726616
Qwen3-4B-Instruct-2507,q4,gauche,libhomo/y,0.19999999999999996,0.016786570743405237
Qwen3-4B-Instruct-2507,q4,gauche,cappun,0.0,0.01199040767386092
Qwen3-4B-Instruct-2507,q4,gauche,polhitok/y,0.0,0.021582733812949617
Qwen3-4B-Instruct-2507,q4,gauche,polabuse/y,0.0,0.02398081534772173
Qwen3-4B-Instruct-2507,q4,gauche,polattak/y,0.0,0.02158273381294959
Qwen3-4B-Instruct-2507,q4,gauche,grass,0.0,0.0023980815347721396
