modele,cle_modele,camp,identite,n_items,gs_decrit_moyen,gs_reel_moyen,ratio,ic_bas,ic_haut,ratio_plancher_w2_w1,part_items_sous_1,p,p_holm
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,147,0.527743100620629,0.44948448816926495,1.1741074820403896,1.1121445095438904,1.2470266361036533,1.0047630983900193,0.23129251700680273,4.999750012499375e-05,0.00119994000299985
Qwen3-4B-Instruct-2507,q4,gauche,adversaire,148,0.5325354823142701,0.4509495262044302,1.1809203721678916,1.118706927841126,1.25407912247583,1.0049519863264174,0.25675675675675674,4.999750012499375e-05,0.00119994000299985
Qwen3-4B-Instruct-2507,q4,centre,journaliste,145,0.5552645456325181,0.49835426697330026,1.1141964309944734,1.0629375703908464,1.1735562754558055,1.0072897529846658,0.2827586206896552,0.00024998750062496874,0.002749862506874656
Qwen3-4B-Instruct-2507,q4,centre,adversaire,148,0.573348890102097,0.5008880069168277,1.1446648396141403,1.0987082832044766,1.2004643995468045,1.008150830775271,0.30405405405405406,4.999750012499375e-05,0.00119994000299985
Qwen3-4B-Instruct-2507,q4,droite,journaliste,147,0.5344367346938775,0.5044554910075513,1.0594328820297794,1.0126124440121507,1.1152112214449768,0.9959513833222243,0.5102040816326531,0.0010999450027498626,0.009449527523623817
Qwen3-4B-Instruct-2507,q4,droite,adversaire,148,0.5371099203009237,0.5065369341252997,1.0603568745256815,1.0194787713037046,1.107421488487736,0.9961441153526945,0.44594594594594594,0.0002999850007499625,0.002999850007499625
Qwen3-4B-Base,q4base,gauche,journaliste,145,0.5197131034482759,0.4466076159166936,1.1636906423584563,1.091618835255684,1.2440892934271854,1.0042329435004256,0.2827586206896552,9.99950002499875e-05,0.00119994000299985
Qwen3-4B-Base,q4base,gauche,adversaire,145,0.4913624913283003,0.446987009747201,1.099276893094044,1.0232790100337341,1.1815505989256023,1.0037482626885845,0.35172413793103446,0.0017499125043747813,0.010499475026248688
Qwen3-4B-Base,q4base,centre,journaliste,145,0.570303448275862,0.49718497285030655,1.1470649344174166,1.0950409950571027,1.2041587897692883,1.0074295803482205,0.2620689655172414,4.999750012499375e-05,0.00119994000299985
Qwen3-4B-Base,q4base,centre,adversaire,143,0.5804531468531469,0.4948487232577028,1.1729910972223805,1.1213552496493335,1.2299199400509235,1.0074169803380604,0.1958041958041958,4.999750012499375e-05,0.00119994000299985
Qwen3-4B-Base,q4base,droite,journaliste,146,0.545228501661668,0.504307044981378,1.0811439322284326,1.0319965338941175,1.1379254903650824,0.9953603303438879,0.4178082191780822,0.0010499475026248687,0.009449527523623817
Qwen3-4B-Base,q4base,droite,adversaire,146,0.5279707317098267,0.5049848676766814,1.0455179263863845,0.9959699582084605,1.1026714811614193,0.9948108501345954,0.4726027397260274,0.021698915054247286,0.10849457527123643
Qwen3-4B,q4hyb,gauche,journaliste,145,0.5682297946081747,0.4463160307774619,1.2731556910880943,1.2037072660038572,1.357105005922001,1.0050164528492354,0.20689655172413793,4.999750012499375e-05,0.00119994000299985
Qwen3-4B,q4hyb,gauche,adversaire,144,0.5474025572429407,0.4467305452200989,1.225352873449121,1.1583721111930114,1.3036434912765547,1.0052772448762488,0.25,4.999750012499375e-05,0.00119994000299985
Qwen3-4B,q4hyb,centre,journaliste,146,0.5893853050098239,0.49812303894162646,1.1832122968295233,1.1294828683442824,1.243839714556945,1.0081091548800059,0.22602739726027396,4.999750012499375e-05,0.00119994000299985
Qwen3-4B,q4hyb,centre,adversaire,144,0.5932900572429408,0.4949269679443192,1.1987426341045286,1.1476715146914906,1.257877397188744,1.0084139516259678,0.19444444444444445,4.999750012499375e-05,0.00119994000299985
Qwen3-4B,q4hyb,droite,journaliste,143,0.5731049494501363,0.49766286478799193,1.1515927548548017,1.0992918659029192,1.2091341650525964,0.9960434350163903,0.2937062937062937,4.999750012499375e-05,0.00119994000299985
Qwen3-4B,q4hyb,droite,adversaire,144,0.5685943691060619,0.49885964540894506,1.1397882637709673,1.0919788331624019,1.197688958760591,0.9958007220989873,0.3472222222222222,4.999750012499375e-05,0.00119994000299985
Qwen3-4B-Instruct-2507,q4nogab,gauche,journaliste,147,0.49392676747500325,0.44860762884822575,1.1010217742911144,1.0345299868156774,1.1790418856433997,1.005276456275247,0.35374149659863946,0.3968801559922004,0.7937603119844008
Qwen3-4B-Instruct-2507,q4nogab,gauche,adversaire,148,0.48684538690922274,0.45330066881746406,1.0740010337493382,1.011313897795918,1.1394412508194134,1.0047459478660634,0.3716216216216216,0.7908104594770261,0.7937603119844008
Qwen3-4B-Instruct-2507,q4nogab,centre,journaliste,146,0.5635791762203975,0.5023404008649881,1.1219069285487717,1.0730090030651875,1.1768149347323111,1.0079712740672362,0.2191780821917808,0.027648617569121545,0.11059447027648618
Qwen3-4B-Instruct-2507,q4nogab,centre,adversaire,144,0.5814670090353592,0.4951228758739461,1.1743893028755867,1.1214159453347914,1.233670645214593,1.0081554958392978,0.1597222222222222,4.999750012499375e-05,0.00119994000299985
Qwen3-4B-Instruct-2507,q4nogab,droite,journaliste,148,0.5521756756756757,0.5065369341252997,1.0900995336681345,1.0435478192032495,1.1442942845859891,0.9961441153526945,0.4189189189189189,0.0010999450027498626,0.009449527523623817
Qwen3-4B-Instruct-2507,q4nogab,droite,adversaire,145,0.5180442454211245,0.503834824132425,1.0282025390229175,0.9760637424913565,1.0823844277543844,0.9955844933207327,0.5241379310344828,0.13799310034498274,0.41397930103494823
